Year,Sample,Enclosure,CB,NV,WY,UT
2012,SBFSE378A,SE,0.0537,0.4513,0.4924,0.0027
2012,SBFN10,SE,0.3615,0.6289,0.0062,0.0035
2012,SBFSE013,SE,0.2155,0.7753,0.0066,0.0024
2012,SBFSE015/33,SE,0.3193,0.669,0.0089,0.0027
2012,SBFSE020,SE,0.4201,0.5567,0.0185,0.0047
2012,SBFSE030,SE,0.0537,0.928,0.0159,0.0027
2012,SBFSE034,SE,0.0201,0.9542,0.0214,0.0042
2012,SBFSE037,SE,0.0194,0.9466,0.0296,0.0044
2012,SBFSE040,SE,0.0479,0.935,0.0094,0.0077
2012,SBFSE048,SE,0.0195,0.963,0.0143,0.0029
2012,SBFSE067,SE,0.0393,0.9435,0.0128,0.0041
2012,SBFSE075,SE,0.0284,0.9598,0.0094,0.0021
2012,SBFSE087/33,SE,0.0313,0.6947,0.0175,0.2563
2012,SBFSE025,SE,0.0795,0.9028,0.0114,0.0063
2012,SBFSE032,SE,0.2782,0.6862,0.0313,0.0043
2012,SBFSE036,SE,0.4152,0.566,0.0149,0.0035
2012,SBFSE042,SE,0.4785,0.5025,0.0118,0.0072
2012,SBFSE043,SE,0.44,0.5495,0.0076,0.0029
2012,SBFSE051,SE,0.0662,0.8889,0.0393,0.0057
2012,SBFSE060,SE,0.0329,0.9326,0.0302,0.0041
2012,SBFSE063,SE,0.0285,0.9584,0.0082,0.0048
2012,SBFSE080/05,SE,0.0208,0.9492,0.0215,0.0085
2012,SBFSE081,SE,0.0675,0.9222,0.0058,0.0041
2012,SBFSE089,SE,0.0558,0.9262,0.0141,0.0041
2012,SBFSE091,SE,0.0549,0.9223,0.0196,0.003
2012,SBFSE092,SE,0.0403,0.7763,0.1798,0.0035
2012,SBFSE330A,SE,0.0659,0.9056,0.0257,0.0028
2012,SBFSE007,SE,0.0293,0.955,0.0115,0.0041
2012,SBFSE022,SE,0.0239,0.9627,0.0056,0.0079
2012,SBFSE033,SE,0.0374,0.941,0.0174,0.0041
2012,SBFSE035,SE,0.0336,0.6042,0.0108,0.3514
2012,SBFSE044,SE,0.0168,0.8373,0.1415,0.0041
2012,SBFSE050,SE,0.0352,0.7909,0.0195,0.1546
2012,SBFSE065,SE,0.0279,0.9587,0.0087,0.0043
2012,SBFSE070,SE,0.0541,0.9329,0.0082,0.0048
2012,SBFSE084,SE,0.0165,0.894,0.0866,0.0027
2012,SBFSE086,SE,0.036,0.4278,0.0156,0.5205
2012,SBFSE090,SE,0.0342,0.9467,0.0146,0.0044
2012,SBFSE353A,SE,0.0288,0.9472,0.0167,0.0075
2012,SBFN09,SE,0.8032,0.1874,0.0074,0.0021
2012,SBFSE001,SE,0.5085,0.4737,0.0151,0.0027
2012,SBFSE009,SE,0.3836,0.6024,0.0106,0.0033
2012,SBFSE010,SE,0.3715,0.6049,0.0169,0.0067
2012,SBFSE011,SE,0.3373,0.6491,0.0076,0.0062
2012,SBFSE021,SE,0.5818,0.4076,0.0076,0.0028
2012,SBFSE039/01,SE,0.3263,0.6553,0.0093,0.0089
2012,SBFSE045,SE,0.1012,0.8847,0.0087,0.0054
2012,SBFSE066/05,SE,0.2504,0.7323,0.0123,0.0049
2012,SBFSE068,SE,0.2239,0.7648,0.0077,0.0035
2012,SBFSE069,SE,0.3236,0.3103,0.0139,0.3524
2012,SBFSE076,SE,0.1477,0.8411,0.0087,0.0026
2012,SBFSE078,SE,0.3766,0.6087,0.0111,0.0036
2012,SBFSE088/31,SE,0.3185,0.6634,0.0142,0.0041
2012,SBFSE372A,SE,0.1053,0.8823,0.0087,0.0035
2012,Allison,SE,0.0453,0.9397,0.0051,0.0099
2012,Boom,SE,0.0143,0.0481,0.9358,0.002
2012,Fricase,SE,0.0248,0.9569,0.0151,0.0035
2012,Loa,SE,0.0224,0.0638,0.0037,0.9102
2012,OZ1740,SE,0.8337,0.1565,0.0076,0.002
2012,OZ1743,SE,0.5891,0.3984,0.0079,0.0043
2012,Pascal,SE,0.022,0.926,0.0464,0.0056
2012,Ras,SE,0.035,0.9275,0.0307,0.0071
2012,1625,SE,0.7297,0.2637,0.0047,0.0016
