RELEASE YEAR	SAMPLE	Detections	Release Date	Weight	CB_ANCESTRY	HL	Sex
2014	SBFLE660A	0	297	491	0.039666667	0.052245171	1
2014	SBFLE662A	0	297	475	0.420111111	0.22301488	2
2014	SBFSE204	0	297	599	0.294666667	0.292052382	1
2014	SBFSE210	0	297	578	0.139111111	0.179329641	1
2014	Wyo	0	297	484	0.0076	0.420905001	2
2014	DE343	0	302	493	0.000888889	0.41584271	2
2014	DE347	0	302	459	0.000888889	0.530056961	2
2014	DE635A	0	302	478	0.014	0.349232735	2
2014	DE639A	0	302	551	0.016888889	0.424871525	1
2014	Jimmy	0	302	487	0.015888889	0.378979397	2
2014	Lenard	0	302	390	0.019333333	0.471118297	2
2014	Uno	0	302	437	0.011	0.464574031	2
2015	BE1099A	0	302	482	0.3049	0.124462664	2
2015	SBFSE206	0	302	534	0.1705	0.065203722	2
2014	Buddy	1	320	421	0.027875	0.404408437	2
2014	SBFLE285	1	320	565	0.378777778	0.057582499	1
2014	SBFLE307	1	320	660	0.304777778	0.158335624	1
2014	SBFLE671A	1	320	459	0.021888889	0.237064882	1
2014	SBFSE229	1	320	612	0.211333333	0.055858986	1
2014	SBFSE235	1	320	162	0.093777778	0.106789201	1
2014	SBFSE357	1	320	553	0.032	0.18205267	2
2014	SBFLE303	0	320	610	0.300888889	0.109184389	1
2014	SBFSE082	0	320	457	0.376777778	0.105708969	2
2014	SBFSE091	0	320	408	0.057111111	0.284547787	2
2014	SBFSE023	1	324	540	0.494333333	0.10982767	1
2014	DE268	0	324	545	0.001555556	0.225827157	1
2014	SBFSE006	0	324	160	0.485777778	0.167680359	2
2014	SBFSE369	0	324	389	0.059888889	0.057582499	2
