RELEASE_YEAR	SAMPLE	Detections	Release_Date	Weight	CB_ANCESTRY	HL	Sex
2014	DE454	0	149	369	0.014888889	0.123623397	2
2014	DE456	1	149	367	0.012444444	0.177438003	2
2014	DE460	0	149	430	0.017222222	0.06267867	1
2014	DE462	0	149	297	0.013777778	0.111882586	2
2014	DE468	0	149	318	0.052666667	0.225831742	1
2014	DE474	0	149	185	0.013777778	0.190770227	2
2014	DE481	0	149	273	0.018888889	0.232205677	2
2014	DE458	0	149	213	0.042	0.127352612	2
2014	SBFSE466	0	150	428	0.411	0.106095038	2
2014	SBFSE467	0	150	286	0.051888889	0.053463798	2
2014	SBFSE468	0	150	277	0.056222222	0.361885045	2
2014	SBFSE469	0	150	197	0.100555556	0.269693744	2
2014	SBFSE470	0	150	317	0.109333333	0.188040758	1
2014	SBFSE471	0	150	279	0.028	0.285401402	2
2014	SBFSE472	0	150	236	0.073111111	0.462682609	1
2014	SBFSE473	0	150	267	0.012444444	0.274999712	2
2014	SBFSE474	0	150	170	0.253	0.052245171	1
2014	SBFSE475	0	150	206	0.337111111	0.175085638	1
2014	SBFSE477	0	150	199	0.072444444	0.116520858	2
2014	SBFSE480	0	150	378	0.137666667	0.165492377	2
2014	SBFSE481	0	150	304	0.056222222	0.118664541	2
2014	SBFSE482	0	150	145	0.047555556	0.111504113	2
2014	SBFSE483	0	150	301	0.053	0.17030524	1
2014	SBFSE484	0	150	241	0.257444444	0.262347297	2
2014	SBFSE485	0	150	309	0.123777778	0.406123838	2
2014	SBFSE486	0	150	194	0.133333333	0.226456875	1
2014	SBFSE487	0	150	414	0.103666667	0.258707797	2
2014	SBFSE488	0	150	177	0.256	0.106789201	1
2014	SBFSE489	0	150	155	0.275666667	0.161211114	1
2014	SBFSE492	0	150	379	0.159555556	0.240003249	2
2014	SBFSE493	1	150	240	0.040222222	0.17993993	1
2014	SBFSE494	0	150	432	0.088555556	0.223014151	2
2014	SBFSE495	0	150	151	0.031111111	0.118359899	1
2014	SBFSE496	0	150	333	0.073555556	0.297552101	2
2014	SBFSE465	0	150	244	0.204222222	0.106095038	2
2014	SBFSE479	0	150	269	0.391555556	0.215766268	1
2014	SBFSE491	1	150	276	0.052444444	0.249822536	1
2016	BE1224	0	153	128	0.356666667	0.334893941	1
2016	BE1225	0	153	205	0.143	0.055858986	1
2016	BE1226	0	153	83	0.152777778	0.304291848	1
2016	BE1227	0	153	238	0.284222222	0.346607492	2
2016	BE1228	0	153	120	0.241666667	0.223988835	2
2016	BE1229	0	153	309	0.166444444	0.223552463	2
2016	BE1230	0	153	330	0.221333333	0.194301387	1
2016	BE1231	0	153	107	0.225888889	0.413182699	2
2016	BE1233	0	153	121	0.260777778	0.457305714	2
