Year,Sample,CB,NV,WY,UT
2015,WA00020,0.2962,0.4061,0.2941,0.0037
2015,WA00033,0.1462,0.4038,0.4466,0.0036
2015,WA00021,0.0899,0.5674,0.3356,0.0072
2015,WA00022,0.3683,0.5598,0.066,0.0061
2015,WA00023,0.1418,0.4423,0.4071,0.0088
2015,WA00024,0.0694,0.583,0.3414,0.0057
2015,WA00025,0.4563,0.4667,0.0705,0.0066
2015,WA00026,0.2277,0.5947,0.1663,0.0114
2015,WA00027,0.2468,0.6731,0.0749,0.005
2015,WA00028,0.1131,0.8121,0.0646,0.0101
2015,WA00029,0.1892,0.4762,0.3305,0.004
2015,WA00030,0.085,0.607,0.2891,0.0187
2015,WA00031,0.2323,0.3821,0.3797,0.0058
2015,WA00032,0.2193,0.4319,0.3449,0.004
2015,SBFLE464,0.519111111,0.435777778,0.031222222,0.013666667
2015,WA00034,0.0851,0.6072,0.289,0.0186
2015,BE1102,0.2168,0.6586,0.1212,0.0034
2016,WA00036,0.2376,0.6129,0.1463,0.0032
2016,WA00038,0.3383,0.5287,0.1289,0.0043
2016,WA00039,0.2445,0.6044,0.1473,0.0037
2016,WA00040,0.2419,0.543,0.2132,0.002
2016,WA00041,0.1714,0.5296,0.2964,0.0027
2016,WA00045,0.2631,0.4884,0.2458,0.0026
2016,WA00046,0.212,0.6191,0.1665,0.0023
2016,WA00048,0.2152,0.6718,0.1097,0.003
2016,WA00049,0.2751,0.5512,0.1696,0.0043
2016,WA00052,0.2133,0.6423,0.1393,0.0052
2016,WA00053,0.2316,0.6176,0.1476,0.0032
2016,WA00054,0.1697,0.4758,0.3518,0.0027
2016,WA00055,0.2078,0.6074,0.1824,0.0027
2016,WA00056,0.2387,0.626,0.1328,0.0022
2016,WA00057,0.2348,0.521,0.2425,0.0021
2016,WA00059,0.175,0.5363,0.2861,0.0024
2016,WA00060,0.2629,0.5633,0.1704,0.0035
2016,WA00061,0.2531,0.6414,0.1025,0.0027
2016,WA00068,0.2425,0.6192,0.1356,0.0027
2016,WA00072,0.1897,0.5545,0.2513,0.0045
2016,WA00074,0.2506,0.4337,0.3133,0.0026
2016,WA00076,0.2554,0.4573,0.2853,0.0019
2016,WA00078,0.2168,0.6696,0.1096,0.004
2016,WA00081,0.2058,0.584,0.2081,0.0023
2016,WA00089,0.1634,0.6453,0.1874,0.0035
2016,WA00034,0.2151,0.5746,0.2077,0.0024
2016,WA00035,0.1867,0.6561,0.1548,0.0023
2016,WA00037,0.1681,0.7119,0.1167,0.0027
2016,WA00043,0.1831,0.6841,0.1304,0.0023
2016,WA00044,0.1654,0.6526,0.1795,0.0027
2016,WA00047,0.1601,0.5535,0.2665,0.0202
2016,WA00050,0.2161,0.6576,0.1241,0.0023
2016,WA00051,0.1967,0.6015,0.1989,0.0027
2016,WA00058,0.2424,0.5548,0.1998,0.0031
2016,WA00062,0.193,0.5184,0.2866,0.0021
2016,WA00063,0.2195,0.4789,0.2988,0.0024
2016,WA00064,0.2168,0.6091,0.1709,0.0033
2016,WA00065,0.1812,0.6223,0.1942,0.0023
2016,WA00066,0.3057,0.4895,0.2021,0.0025
2016,WA00067,0.2103,0.6201,0.1661,0.0035
2016,WA00069,0.185,0.621,0.1911,0.003
2016,WA00070,0.1724,0.5871,0.2377,0.003
2016,WA00073,0.1633,0.5897,0.2449,0.0022
2016,WA00075,0.2567,0.5664,0.1749,0.0023
2016,WA00079,0.2105,0.6314,0.155,0.003
2016,WA00080,0.2687,0.5429,0.1862,0.0023
2016,WA00082,0.1931,0.5406,0.2643,0.0021
2016,WA00083,0.1757,0.6827,0.1386,0.0033
2016,WA00084,0.1872,0.5484,0.2614,0.0027
2016,WA00085,0.2719,0.5246,0.1998,0.0036
2016,WA00086,0.2478,0.5361,0.2137,0.0023
2016,WA00087,0.2608,0.5682,0.1658,0.0051
2016,WA00088,0.2034,0.5027,0.2923,0.0015
2016,WA00090,0.1835,0.6466,0.1675,0.0023
2016,BE1259,0.2271,0.6119,0.157,0.0041
2016,BE1273,0.2704,0.5551,0.1722,0.0024
2016,LE1012,0.1461,0.5713,0.2805,0.0023
2016,LE1016,0.2427,0.6003,0.1531,0.0039
